ADM_CD,year,month,LST,NDVI,NDBI,Albedo
11040660,2024,5,28.55660764,0.272882512,-0.075490745,0.10575976
11040670,2024,5,26.749708,0.181277507,-0.033111656,0.098553694
11040680,2024,5,30.96866214,0.218356926,0.00530969,0.117385638
11040690,2024,5,28.31891898,0.304907985,-0.126962468,0.096082567
11040700,2024,5,29.81342014,0.298478935,-0.069444947,0.116707728
11040710,2024,5,29.40264915,0.292261472,-0.055796208,0.104874365
11040720,2024,5,28.54473947,0.385793176,-0.094313578,0.103992509
11040730,2024,5,22.75986387,0.229234252,-0.196761269,0.074841491
11050530,2024,5,29.74682718,0.274194337,-0.049110326,0.110758438
11050540,2024,5,30.56658107,0.230947257,-0.002845219,0.113751879
11050550,2024,5,30.40056277,0.215296733,-0.012143558,0.110758224
11050560,2024,5,30.81414484,0.198409569,0.02109469,0.112288804
11050570,2024,5,29.60502356,0.238667671,-0.029532993,0.109375178
11050580,2024,5,25.10514144,0.546419112,-0.206616171,0.084377008
11050590,2024,5,28.44075822,0.42903112,-0.147768484,0.104078276
11050600,2024,5,31.49193418,0.207958048,0.012816018,0.11434565
11050610,2024,5,29.75260799,0.406298073,-0.120428688,0.109239363
11050620,2024,5,29.96339471,0.238026388,-0.069213022,0.100740824
11050630,2024,5,26.49470086,0.385026123,-0.159255567,0.139409151
11050640,2024,5,30.88237945,0.2049213,0.012465653,0.113857491
11050650,2024,5,27.14503199,0.200269577,-0.088010864,0.10453588
11050660,2024,5,26.12491889,0.226252072,-0.092548785,0.093338603
11050670,2024,5,26.50076393,0.17040274,-0.059871911,0.098708477
11060710,2024,5,28.35749026,0.393932891,-0.119538231,0.10747986
11060720,2024,5,28.95057541,0.24922169,-0.044247992,0.108967246
11060730,2024,5,28.94422917,0.384529281,-0.11394944,0.10523153
11060800,2024,5,28.90916502,0.393286418,-0.108019309,0.105134268
11060810,2024,5,30.36756478,0.24887624,-0.013532712,0.110419067
11060820,2024,5,31.87628251,0.233355147,0.014704824,0.115038858
11060830,2024,5,30.33704578,0.240889933,-0.011525157,0.115436734
11060840,2024,5,28.33290556,0.419526403,-0.12642978,0.105575472
11060860,2024,5,29.30095069,0.355991798,-0.091677452,0.10166836
11060870,2024,5,30.28488989,0.261271518,-0.030633973,0.110071388
11060880,2024,5,30.06740186,0.271424486,-0.034512619,0.105886683
11060890,2024,5,28.84752244,0.255481127,-0.026569717,0.119677635
11060900,2024,5,29.4934161,0.310344394,-0.074108316,0.109540941
11060910,2024,5,29.92487283,0.281623804,-0.058912781,0.109721901
11070520,2024,5,29.63944669,0.261712582,-0.023044249,0.109130884
11070540,2024,5,27.13925865,0.38609665,-0.11432776,0.095978301
11070550,2024,5,29.4534311,0.28702935,-0.06106032,0.115201292
11070570,2024,5,24.51203629,0.516969033,-0.192398653,0.084932081
11070590,2024,5,28.25365548,0.36211943,-0.104797079,0.107197648
11070600,2024,5,29.74226168,0.208646076,-0.00184807,0.108952586
11070610,2024,5,28.50771279,0.355660494,-0.07753686,0.101125857
11070620,2024,5,29.48960387,0.228232401,-0.017565348,0.113348704
11070640,2024,5,27.43662051,0.40097108,-0.128901097,0.09629622
11070650,2024,5,29.19232076,0.263820709,-0.054289565,0.104470141
11070680,2024,5,24.95507613,0.483413139,-0.182398799,0.10008258
11070690,2024,5,27.23688003,0.446798354,-0.158867789,0.09886417
11070700,2024,5,25.49978379,0.579858367,-0.239273414,0.086433941
11070710,2024,5,30.59473847,0.207778585,0.016609359,0.112832
11070720,2024,5,25.17759106,0.499175804,-0.193282774,0.09543688
11070730,2024,5,26.01234145,0.464301411,-0.171182871,0.10338646
11080580,2024,5,27.40585719,0.42610674,-0.147132309,0.091483772
11080590,2024,5,27.41245537,0.465342563,-0.163882755,0.092708998
11080600,2024,5,29.2203824,0.351226223,-0.095756908,0.112563727
11080610,2024,5,29.98363266,0.279907165,-0.046564328,0.110490338
11080620,2024,5,29.1470965,0.310443463,-0.062767382,0.09798512
11080630,2024,5,27.90460769,0.445103657,-0.148768755,0.094274118
11080640,2024,5,24.49479735,0.641099695,-0.268085088,0.08585643
11080650,2024,5,22.0554901,0.701856818,-0.308976779,0.078154454
11080660,2024,5,27.8603813,0.397280274,-0.136109924,0.10025295
11080680,2024,5,29.66977929,0.285055579,-0.0433883,0.107373906
11080710,2024,5,29.05237475,0.330275864,-0.087182111,0.106163872
11080720,2024,5,26.9029145,0.442398101,-0.152207734,0.095681793
11080760,2024,5,30.14196886,0.284227528,-0.01446962,0.108425587
11080770,2024,5,30.09754834,0.244355964,0.017342868,0.123794694
11080780,2024,5,28.72447704,0.2581343,-0.016836204,0.118105485
11080810,2024,5,26.65203001,0.540618487,-0.208645383,0.092983583
11080820,2024,5,29.8641236,0.295955432,-0.043806251,0.110818533
11080830,2024,5,29.88401539,0.280765004,-0.044326163,0.107297412
11080840,2024,5,29.0057702,0.360604104,-0.09726147,0.104049709
11080850,2024,5,28.93001812,0.361215586,-0.095015887,0.105299694
11090600,2024,5,30.46121058,0.256013753,0.014316813,0.112916198
11090610,2024,5,26.5708831,0.55077862,-0.213449473,0.091593239
11090620,2024,5,25.90073245,0.57628004,-0.250973767,0.092651354
11090630,2024,5,25.79277808,0.548795729,-0.198853757,0.090264842
11090640,2024,5,30.84843698,0.302118237,-0.015859518,0.101151796
11090650,2024,5,30.31075673,0.255456311,0.012963712,0.107979297
11090690,2024,5,28.63636688,0.385261158,-0.089284306,0.106580733
11090700,2024,5,28.75390023,0.34543407,-0.057013831,0.102111354
11090710,2024,5,29.08801166,0.318711521,-0.041421962,0.105801586
11090720,2024,5,30.79815158,0.25342052,0.014342399,0.114972306
11090730,2024,5,27.17430377,0.460071297,-0.172748703,0.09194508
11090740,2024,5,21.17959961,0.755536706,-0.333671182,0.074956174
11090750,2024,5,24.43450582,0.62561738,-0.242690221,0.082573053
11100510,2024,5,28.38414568,0.4364414,-0.127271254,0.10035383
11100520,2024,5,30.60504444,0.291241731,-0.02408366,0.106114741
11100530,2024,5,30.41400958,0.298291912,-0.02654782,0.105158274
11100540,2024,5,28.1219191,0.476725949,-0.147021136,0.092198348
11100550,2024,5,30.1938151,0.331387289,-0.06387593,0.100282795
11100560,2024,5,27.09419691,0.537507831,-0.18170041,0.09208513
11100570,2024,5,25.00760553,0.651497862,-0.268931863,0.08474238
11100590,2024,5,27.20813545,0.499505689,-0.172727036,0.09449387
11100600,2024,5,29.38417531,0.312721177,-0.035229089,0.103741505
11100610,2024,5,27.09317087,0.430981334,-0.128600784,0.099138561
11100620,2024,5,29.03949972,0.361369618,-0.107063208,0.103498919
11100630,2024,5,29.71926611,0.33488389,-0.065230492,0.10240559
11100640,2024,5,21.74973443,0.739295142,-0.333738184,0.078883888
11100650,2024,5,29.16961489,0.40451446,-0.099487235,0.100236541
11110510,2024,5,28.14242826,0.408130141,-0.126299764,0.105236226
11110520,2024,5,25.75233001,0.57550221,-0.240283209,0.092318921
11110530,2024,5,28.57616625,0.361371525,-0.094296558,0.111387767
11110560,2024,5,25.95059829,0.576962703,-0.227706931,0.093205163
11110580,2024,5,27.9114628,0.449750517,-0.151763389,0.101438164
11110590,2024,5,28.01335257,0.420755155,-0.128779755,0.095559192
11110600,2024,5,24.21273428,0.624384701,-0.270204679,0.080878968
11110610,2024,5,28.3345883,0.418966209,-0.123548312,0.101837225
11110640,2024,5,24.36857401,0.610834625,-0.263452032,0.081088168
11110650,2024,5,22.50634722,0.68990288,-0.310101626,0.074885033
11110660,2024,5,29.91193575,0.298872678,-0.032247058,0.10445204
11110690,2024,5,27.57622607,0.452701828,-0.126186405,0.097661902
11110720,2024,5,27.99897634,0.433890933,-0.134788008,0.094320646
11110730,2024,5,26.30650175,0.54468535,-0.198812276,0.091343646
11110740,2024,5,29.43439622,0.383065449,-0.122408161,0.106810927
11110760,2024,5,22.7121454,0.70420588,-0.317609435,0.076062931
11110770,2024,5,28.33614789,0.433555427,-0.131838579,0.099576294
11110780,2024,5,28.52433483,0.41378008,-0.108282492,0.101794004
11110790,2024,5,29.05198507,0.297532454,-0.07084085,0.100608288
